id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,,,,,,,,,,,,,,,,,,,,,,,
27193,ZBYN,large_airport,Taiyuan Wusu Airport,37.746899,112.627998,2575,AS,China,CN,Shanxi Province,CN-14,14,Taiyuan,1,ZBYN,TYN,,,,,,,,,,,,,,,,,,,,,,,
32489,ZSTX,medium_airport,Tunxi International Airport,29.73329926,118.2559967,,AS,China,CN,Anhui Province,CN-34,34,Huangshan,1,ZSTX,TXN,,,,,,,,,,,,,,,,,,,,,,,
330820,ZBAD,large_airport,Beijing Daxing International Airport,39.509945,116.41092,98,AS,China,CN,Beijing Municipality,CN-11,11,Beijing,1,ZBAD,PKX,,,,,,,,,,,,,,,,,,,,,,,
27237,ZYCC,large_airport,Changchun Longjia International Airport,43.996201,125.684998,706,AS,China,CN,Jilin Province,CN-22,22,Changchun,1,ZYCC,CGQ,,,,,,,,,,,,,,,,,,,,,,,
30593,ZGSD,medium_airport,Zhuhai Jinwan Airport,22.006399,113.375999,23,AS,China,CN,Guangdong Province,CN-44,44,Zhuhai (Jinwan),1,ZGSD,ZUH,,,,,,,,,,,,,,,,,,,,,,,
27222,ZSOF,medium_airport,Hefei Xinqiao International Airport,31.98779,116.9769,207,AS,China,CN,Anhui Province,CN-34,34,Hefei,1,ZSOF,HFE,,,,,,,,,,,,,,,,,,,,,,,
27201,ZJHK,large_airport,Haikou Meilan International Airport,19.9349,110.459,75,AS,China,CN,Hainan Province,CN-46,46,Haikou (Meilan),1,ZJHK,HAK,,,,,,,,,,,,,,,,,,,,,,,
44093,ZBNY,small_airport,Beijing Nanyuan Air Base,39.782158,116.386299,,AS,China,CN,Beijing Municipality,CN-11,11,Beijing,0,,,,,,,,,,,,,,,,,,,,,,,,,
27195,ZGHA,large_airport,Changsha Huanghua International Airport,28.189199,113.220001,217,AS,China,CN,Hunan Province,CN-43,43,Changsha (Changsha),1,ZGHA,CSX,,,,,,,,,,,,,,,,,,,,,,,
32672,ZSWZ,large_airport,Wenzhou Longwan International Airport,27.912201,120.851997,,AS,China,CN,Zhejiang Province,CN-33,33,Wenzhou,1,ZSWZ,WNZ,,,,,,,,,,,,,,,,,,,,,,,
